id,ano,municipio,codigo_postal,total_fugas,tipo_de_fuga,fecha
697,2018,Soneja,12480,1,Acometida,11/9/2018
698,2018,Benassal,12160,1,Acometida,12/9/2018
699,2018,Cinctorres,12318,1,Tubería general,17/9/2018
700,2018,La Torre d'En Besora,12161,1,Tubería general,17/9/2018
701,2018,La Torre d'En Besora,12161,1,Acometida,17/9/2018
706,2018,La Torre d'En Besora,12161,1,Tubería general,24/9/2018
714,2018,Fuentes de Ayódar,12225,1,Interior vivienda,22/10/2018
715,2018,Fuentes de Ayódar,12225,1,Interior vivienda,22/10/2018
717,2018,Todolella,12312,1,Tubería general,23/10/2018
720,2018,Aín,12222,1,Tubería general,30/10/2018
721,2018,Eslida,12528,1,Tubería general,31/10/2018
722,2018,Gaibiel,12415,0,,8/11/2018
726,2018,Forcall,12310,1,Tubería general,21/11/2018
729,2018,Cedraman,12123,1,Acometida,27/11/2018
732,2018,Caudiel,12440,1,Tubería general,28/11/2018
733,2018,Gaibiel,12415,1,Tubería general,4/12/2018
734,2018,Gaibiel,12415,1,Tubería general,4/12/2018
738,2018,Eslida,12528,1,Tubería general,20/12/2018
744,2019,Arañuel,12232,1,Acometida,7/1/2019
745,2019,Las Girabas (Ludiente),12123,1,Tubería general,7/1/2019
748,2019,Caudiel,12440,1,Tubería general,10/1/2019
754,2019,Arañuel,12232,1,Acometida,30/1/2019
759,2019,Alfondeguilla,12609,1,Interior vivienda,11/2/2019
770,2019,Benassal,12160,0,,25/2/2019
771,2019,Benafigos,12134,1,Acometida,26/2/2019
772,2019,Boixar (Pobla de Benifassà),12599,1,Acometida,27/2/2019
773,2019,Boixar (Pobla de Benifassà),12599,1,Acometida,27/2/2019
774,2019,Diputación,12004,1,Interior vivienda,28/2/2019
777,2019,Pavías,12449,1,Acometida,6/3/2019
782,2019,Montanejos,12448,1,Acometida,13/3/2019
783,2019,Montanejos,12448,1,Tubería general,13/3/2019
786,2019,Pobla de Benifassà,12599,0,,20/3/2019
787,2019,Pobla de Benifassà,12599,0,,20/3/2019
804,2019,Eslida,12528,1,Acometida,8/5/2019
806,2019,Caudiel,12440,1,Tubería general,9/5/2019
808,2019,Artana,12527,1,Acometida,14/5/2019
810,2019,Benassal,12160,1,Acometida,15/5/2019
811,2019,Eslida,12528,1,Tubería general,16/5/2019
815,2019,Casas del Rio (Rosell),12511,1,Tubería general,29/5/2019
821,2019,Alfondeguilla,12609,0,,4/6/2019
824,2019,Gaibiel,12415,1,Tubería general,10/6/2019
825,2019,Soneja,12480,1,Tubería general,10/6/2019
829,2019,Ayódar,12224,1,Interior vivienda,11/6/2019
